ID,Date,Full Text,People List,Places List,Provenance,Text Irregularities,Ville,formatted_dates
TM 112497,6th century AD: AD 500 - 599,-------------------- ---.--- ---.τῆς τοῦ χρυσίου ἀποχ̣ῆς --- ---σαν Ἀντίνοος καὶ Διόσκορος κατὰ πᾶν ευτ--- --- σνεῦν ὅτι ἐνέγκῃς ἡμῖν τὸ χρυσίον καὶ εἶπεν ὅτι χρυσίον̣ --- Σκινεπ̣ώει ἵνα δώσω ὑμῖ̣ν ἀλλὰ ἐν τῷ̣ οἴκῳ μού εἰσιν ἔνιοι --- --- Σκινεπώει γὰρ τῇ κώμῃ π̣ρ̣οσφεύγω διὰ τὴν γενομένην --- μη τοῦ ...κου τοῦ δίκην δεδωκότος κ.--- ---ου τοῦ γαμβροῦ α̣ὐτοῦ ὡς ἠγορακ.--- ---ει̣α ἐκ το͂… εὐαγοῦς μοναστηρίου τῆς̣ --- ---.ων πόλεως καὶ πρὸς τοῦτο εἶπον .--- --- τὰ ἠμέτερα ζητοῦμεν κ--- --- μεθ’ ὑμῶν εἰς τὸ πλοῖον --- ---.ας καὶ δὴ ἐνέβη μεθ’ ἡμῶν --- ---.εύσαμεν εἰς τὴν Ἀνταίου πόλιν --- -------------------- -------------------- --- κώμης πρ.--- --- τὸν ν̣αύτην --- --------------------,"['Ἀντίνοος', 'Διόσκορος', 'Πανεσνευς']","{'[- Σκινε]π̣ωει': '109542', '[- Σκινε]πωει': '109543', 'εἰς τὴν Ἀνταίου π[όλιν]': '109525'}",Lykopolites? - Egypt (13th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)? - Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],[],Lykopolites?,"('AD 500', 'AD 500')"
TM 129806,year 26 of Iustinianus ?: AD 551 Aug 30 - 552 Aug 28?,"-------------------- .......... ..ουτα ε̣ὐ̣χα̣ριστέ̣ω τῇ ὑμετέρᾳ δ̣εσ̣ποτε̣ί̣ᾳ . ὁ δεσπότης προση̣μανθεὶς τῆς̣ ἀπ̣ελευθέρας ἄ̣π̣α Ἰωά̣ν̣ης̣ Ἰω̣άννου , δι’ ἐμοῦ Μαννα Θ̣ί̣νου̣ , ὑπὲ̣ρ̣ αὐτῆς ἔγραψα . ἔτους̣ ι μετὰ τὴν ὑπατείαν Φλαυίου Βασ̣ι̣λείου τοῦ ἐνδοξοτάτου , ..ι κδ ἰνδικτίονος ιε´ .",[],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],[],Aphrodito,"('AD 551', 'AD 551')"
TM 15336,aboutAD 565?,"-------------------- --- τῆς τάξεως τῆς ὑμετέρας ἐξουσίας --- τελοῦμεν ἀκολούθως , καθὼς προεῖπ̣ον , τοῖς περὶ τού̣του ..ο̣ι̣ς̣ τ...... μεγίστοις τύποις . ἐνταῦθα δὲ τυγχάνω πρὸ δώδεκα ἡμερῶν̣ πλ̣έω ἔλαττον̣ διωχθεὶς παρὰ τοῦ αὐτοῦ αἰδεσίμου ἐξπελλευτοῦ τῆς Ἀνταιοπολιτῶν̣ καὶ μηδαμοῦ συγχω̣ρη- θ̣ε̣ὶ̣ς̣ ἢ̣ τ̣ῇ αἰσίᾳ ἐμβολῇ ἢ τ̣οῖ̣ς ἄλλοι̣ς̣ δ̣η̣μοσίο̣ις σχο̣λάζ̣ε̣ κ.. μήτ̣ε̣ ὅλ̣ως πάροδον αὐτοῦ ἔχοντος πρὸς ἡμᾶς , καθὼς προεῖπον · ἀλλ’ εκ̣.. κατα̣βολ̣ὴν̣ πέ̣μ̣πο̣ν̣τε̣ς̣ διὰ ἰδίου ὑποδέκτου εἰς τὴν τάξιν καὶ μηδὲν ἐν τῇ Ἀνταιοπολιτῶν̣ καταβάλλοντες κα̣ὶ̣ τὸ πρόσγραφον δ̣ὲ τῆ̣ς ἐ̣μβολῆς τοῦ εὐλαβεστάτου μονάζοντος πάλιν διὰ ἰδίου ἀ̣ν̣θρώπου̣ πέμποντες εἰς̣ τ̣ὴν τάξιν ὡ̣ς̣ μ̣η̣δεμί̣α̣ν̣ ἔ̣χ̣ε̣ι̣ν̣ τ̣ὸν ἐξπελλευ̣τ̣ὴν . ..... διʼ ἡμῶν . ἀλλʼ οὐδὲ ὠχλήθ̣η̣σα̣ν ⟦.χληθ̣η̣σα̣ν⟧ οὔποτε ὑπὲρ τῆς ἡμῶν κώ̣μ̣ης̣ ἢ αὐτὸς ἢ ἄλλοι ⟦αλλος⟧ ἐξπελλευτ\ο̣ὶ/ ⟦εξπελλευτης⟧* πρὸ αὐτοῦ . ἐπειδὴ δὲ ἀκήκοα ὡς καί τινα ἀ̣νήνεκται* κατʼ ἐμοῦ παρὰ Νέπωτος τοῦ σιγγουλαρίου ἐξ ὑποβ̣ο̣λ̣ῆ̣ς , ὡ̣ς̣ εἴρηται , τοῦ αὐτοῦ αἰδεσίμ̣ο̣υ Ἀφθονίου , ἑτοίμως ἔχω̣ , ε̣ἰ̣ κα.η τὰ ἐντα̣... ὁ̣ α̣ὐ̣τὸς α̣ἰ̣δ̣έσι̣μος σιγγουλάριος Νέπως κ̣αὶ ἀποδείξῃ τι τῶν παρʼ α̣ὐ̣τ̣οῦ ἀνηνεγμένων* παρʼ ἐμοῦ γεγενημένον̣ , ὑπ̣οκ̣ε̣ῖ̣σθαι τοῖς προσταττομένοις παρὰ τῆς ὑμετέρας ἐξουσίας . ὅτι γὰρ οὐδὲν τοιοῦτο ἢ ἐνεθυμήθην πώποτε ἢ διεπραξάμην , ἐξ οὗ παρήγγειλα̣ ε̣ἰς ἄνδρας , οὔπω λέγω εἰς τὸν πρωτοκωμήτην , θαρρῶν̣ ἐμαυτῷ̣ τοῦτο αὐτὸ κατατίθημι . καὶ παρακαλῶ , εἴπερ παρασταίη τῇ ὑμετέρᾳ ἐξουσίᾳ , τὸν συνήθη λόγον κελεῦσαι δοθῆναί μοι , ὃν̣ πάντες ἔχουσιν οἱ τῆς ἐπαρχείας ἡ̣μ̣ῶ̣ν̣ ἰδιωτεύοντες , οὔπω λέγω δημόσια χειρίζοντες αὐτὸς γὰρ ὁ ταῦτα ἀνενεγκὼ̣ν̣ κατʼ ἐμοῦ ὑπὸ λόγον τυγχάνων ἀ̣ν̣ήνεγ̣κ̣ε̣ν̣ ψευ̣δῆ κατʼ ἐμοῦ̣ βουλόμ̣ε̣ν̣ό̣ς̣ με̣ καθ̣ʼ ὑπο̣β̣ο̣λὴ̣ν̣ Ἀφθονίου διωχθῆναι πρὸς περιγραφὴν τῆς αἰσίας ἐμβολ̣ῆς κα̣ὶ̣ τῶν ἄλλων δημ̣ο̣σίω̣ν , ὅπως δυνηθῶ τὰς προόδους ποιήσασθαι καὶ καταλαβεῖν τὸ ὑμέτερον δικαστήριον καὶ ἀνεύθυνον ἐμαυτὸν ἀποδεῖξαι πάντων τῶν μάτην κατʼ ἐμοῦ κατηγορημένων παρὰ τῶν συκοφαντεῖν με ἐθελόντων καὶ τὸ δημόσιον διασκορπίζειν .","['Νέπωτος', 'Ἀφθονίου', 'Νέπως', 'Ἀφθονίου']","{'τῆς Ἀνταιοπολιτῶν̣': '69336', 'ἐν τῇ Ἀντα[ιο]πολιτῶν̣': '69337'}",Antinoopolis (El-Sheikh Ibada)- Egypt (15th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],['ἐξπελλευτοὶ: read ἐξπελλευταὶ'],Antinoopolis,"('AD 565', 'AD 565')"
TM 15337,AD 566 Feb 22?,"Κωνσταντῖνος Καλλινίκου σιγγουλάριος τῷ ἀδελφῷ Διοσκόρῳ Ἀπολλῶτος ἀπὸ Ἀφροδίτης . ἐδεξάμην καὶ ἐπληρώθην παρὰ σοῦ τοῦ τρίτου σου μέρους τοῦ γραμματίου τοῦ γεναμένου τῷ ἐμῷ πατρὶ παρὰ Ἀπολλῶτος καὶ Σενούθου τῶν μακαριωτάτων · καὶ εἰ εὑρεθείη ποτὲ καιρῷ τὸ αὐτὸ γραμμάτιον , ἄκυρον ἔσται καὶ ἀνίσχυρον πανταχοῦ προφερόμενον ὑπὲρ τοῦ τρίτου σου μέρους παρʼ οἱουδήποτε προσώπου . καὶ διὰ τὸ ἐμὲ ἀπηλλάχθαι πρὸς σὲ περὶ τούτου καὶ πεπληρῶσθαι ταύτην ἐθέμην σοι τὴν λύσιν κυρίαν οὖσαν καὶ βεβαίαν μεθʼ ὑπογραφῆς ἐμῆς ὁλόγραφον χειρὶ ἐμῇ . ἐγράφη Μεχεὶρtripunctκη̣ ἰνδικτίωνος ιδ . Κωνσταντῖνος Καλλινίκου πεποίημαι τήνδε τὴν λύσιν ὡς πρόκειται . δηλονότι τὸ δοθέν σοι παρὰ Καλλινίκου τοῦ μακαριωτάτου μου πατρὸς ἐντάγιον προσερ̣.. ἄκυ̣ρον εἶναι καὶ ἀ̣ν̣ίσ̣χ̣υρον π̣α̣ν̣τα̣χοῦ προφερόμενον · ὁ αὐτὸς σεσημείωμαι . ??̣ṣṭạụṛọṣ̣ χ̣ειρ̣όγραφον . γενόμενο̣ν π̣αρὰ Κ̣ω̣νσταντίνου τοῦ υ̣ἱ̣οῦ τ̣ο̣ῦ̣ μακα̣ρ̣ι̣ω̣τ̣άτου Καλλινίκου Ἀλεξάνδρου ... Καλλινίκῳ παρὰ τοῦ ἐ̣μοῦ πατρὸς τοῦ μακαριωτάτου Ἀπολ̣λ̣ῶτος καὶ Σεν̣ο̣ύ̣θου Ἀπολλῶτος μακαριω̣τάτου .. τὸ τρίτον μου μέρος .... τοῦ χειρογράφου τ̣ων...ωστουσιν .","['Κωνσταντῖνος', 'Καλλινίκου', 'Διοσκόρῳ', 'Ἀπολλῶτος', 'Ἀπολλῶτος', 'Σενούθου', 'Κωνσταντῖνος', 'Καλλινίκου', 'Καλλινίκου', 'Κωνσταντίνου', 'Καλλινίκου', 'Καλλινίκῳ', 'Σενούθου', 'Ἀπολλῶτος', 'Ἀπολλῶτος']",{'ἀπὸ Ἀφροδ(ίτης)': '69338'},Antinoopolis (El-Sheikh Ibada)- Egypt (15th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],[],Antinoopolis,"('AD 566', 'AD 566')"
TM 15338,AD 531 May 22?,"---slanting-strokeμετὰ τὴν ὑπατείαν Φλαυίων Ὀρέστου καὶ Λαμπαδίου τῶν ἐ̣ν̣δοξοτά̣τ̣ων ____ Παχὼν? κζ δεκάτης ἰνδικ̣τίωνος ἀρχο̣μένης . Αὐρηλίῳ --- ἀπὸ κώμης Ἀφροδίτης τοῦ Ἀνταιοπολίτ̣ου νομοῦ Αὐρήλιοι --- καὶ ---γιος Ἰωσηφίου ἀμ̣φοτερ.μενοι ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης χαίρειν . βεβαίας οὔσης τῆς γ̣ενομέ̣νης σοι παρʼ ἡμῶν ---α βοσκήματα ἁπ̣ανταχοῦ πρ̣οφερομ̣ενην* --- ὁμολογοῦμεν δὲ̣ καὶ νῦ̣ν διὰ ταύτης ἡμῶν τῆς ἐγγράφου ἀσφαλείας ἀλληλέγγυοι ὄντε̣ς καὶ ἀλληλανά̣δ̣οχοι ἐσχηκέναι καὶ δεδανεῖσθαι παρὰ σοῦ --- χρυσοῦ κεφαλαίου νομισ̣μάτια̣ ... παρὰ κεράτια --- , γίνονται νομισμάτια .. παρὰ κεράτια --- τῷ χρυσοχοικῷ σταθμῷ , ἅπερ παρ̣α... ἐσ̣χήκαμεν α̣... --- κ̣αὶ ἑτ̣ο̣ί̣μ̣ως ἔ̣χομε̣ν ταῦτα παρασχεῖν σοι ---δ̣ε̣--- --------------------","['Αὐρηλίῳ', 'Αὐρήλιοι', 'Ἰωσηφίου']","{'[ἀπὸ κ]ώμης Ἀφροδίτης': '69341', 'τοῦ Ἀνταιο[πο]λίτ̣ου νομοῦ': '69340', '[ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης]': '69342'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],['προφερομενην: read προφερομένης'],Aphrodito,"('AD 531', 'AD 531')"
TM 16258,year 26 of Iustinianus: AD 551 Aug 30 - 552 Aug 28,"δέδωκεν Ἀπολλὼς Διοσκώρου* διὰ τῶν κληρονόμων αὐτοῦ εἰς λόγον ἐμβολῆς πεντεκαιδεκάτης ἰνδικτίονος ὑπὲρ κωμητικῶν κώμης Φθλᾶ διὰ προσγράφου Τιμοθέου γραμ̣ματέως κ̣ώμ̣ης Ἀφροτίτης* σίτου κανόνος ἀρτά̣βας εἴκοσι τέταρτον τετρ̣ακαιεικοσ̣τ̣ὸ̣ν̣ τεσσαρακο̣στ̣όγδ̣οον , γίνονται σίτου κανό̣νος ἀρτάβαι κ δ´ κδ´ μη´ . ὁ ἐνδοξότατος πάγαρχος Ἰουλιανὸ̣ς̣ Ἰλλούστριος διʼ ἐμοῦ Πνίννου βοηθ̣οῦ στοιχε̣ῖ μοι̣ ὡς π̣ρ̣όκειται . ἡ̣ ἁ̣γ̣ί̣α τρι̣ά̣ς . σίτου ἄρταβαι κ δ̣´ κδ´ μη´ . ---","['Ἀπολλὼς', 'Διοσκώρου', 'Τιμοθέου', 'Ἰουλιανὸς', 'Πνιννου']","{'κώμ(ης) Φθλα': '95620', 'κώμης Ἀφροτίτ(ης) (sic)': '95621'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"['Διοσκώρου: read Διοσκόρου', 'Ἀφροτίτης: read Ἀφροδίτης']",Aphrodito,"('AD 551', 'AD 551')"
TM 17532,year 5 of Iustinus II: AD 569 Aug 29 - 570 Aug 28,--- δεσπότου ἡμῶν Φλ̣αυί̣ου Ἰουστίνου τοῦ ἀἰ̣ωνίου Αὐγούστου --- τρίτης ἰνδικ̣τ̣ί̣ο̣νος ἐν Ἀντινόου πόλει τῇ λαμπροτάτῃ --- ---.ος Ἀ̣βρααμίου τοῦ θυρουροῦ τοῦ .... --- καὶ Μ̣ηναδίας τῶν ἀφηλίκων διὰ ἐπιτρόπου χρηματίζοντες ?--- ---.ων παρόντων Αὐρηλίων Γενναδίου --- --- τούτου γαμετῆς Ἀναστᾶς θυγατρὸς --- --- ἀπὸ ταύτη̣ς τῆς καλλιπόλεως Ἀντινοέων παρὰ --- --- μισθω̣τικὴ ὁμολογία ἐπὶ τοῖς ἑξῆς δηλουμένοις . ὁμολογοῦμεν --- --- Γεννάδιος καὶ Ἀναστᾶ ἡ αὐτοῦ γαμετὴ διὰ ταύτης τῆς ἐγγράφου μισθωτικῆς ὁμολογίας μεμίσθωσθαι παρʼ ὑμῶν πρὸς ὃν βο̣ύλεσθε χρόνον λογιζόμενον ἀπὸ καρπῶν τῆς παρούσ̣η̣ς̣ τρίτης ἐπινεμήσεως κα̣ὶ αὐτῆς --- ---ων οἴκημα κατὰ κοινωνίαν ὑπ--- --- καθʼ ἡμίσ̣ιαν* μοῖραν ἑκάστου ὑμῶν δ--- --- Σε̣ρ̣ήνου τοῦ ἀθλοφόρου νεὸ̣ν ἐπὶ α̣--- --- αὐτοῦ περιοχῇ ᾠκοδομημένον καὶ περιτετειχισμένον --- ---ν̣ω,"['Ἀβρααμίου', 'Μηναδίας', 'Αὐρηλίων', 'Γενναδίου', 'Ἀναστᾶς', 'Γεννάδιος', 'Ἀναστᾶ', 'Σερήνου']","{'ἐν Ἀντινόου πόλει': '86646', '[ἀπὸ ταύτ]η̣ς τῆς καλλιπόλεως Ἀντινοέων': '86647'}",Antinoopolis (El-Sheikh Ibada)- Egypt (15th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],['ἡμίσιαν: read ἡμίσειαν'],Antinoopolis,"('AD 569', 'AD 569')"
TM 17592,AD 524 Oct 6,"̣ṣṭạụṛọṣ̣ Ὑ̣π̣α̣τείας τοῦ δεσπότου ἡμῶν Φλαουίου Ἰουστίνου τ̣ο̣ῦ̣ αἰωνίου Αὐγούστου Αὐτοκράτορος τὸ β καὶ Φλαουίου Ὀπιλιανοῦ τοῦ λαμπροτάτου , Φαῶφι θ τρίτης ἰνδικτίονος . Αὐρηλίῳ Ἀπολλῶτι Διοσκόρου ἀπὸ κώμης Ἀφροδίτης τοῦ Ἀνταιοπολίτου νομοῦ παρὰ Αὐρηλίου Βίκτορος Ἑρμαυῶτος καὶ ἑτέρου Βίκτορος Ψε..μούθου καὶ Φοιβάμμωνος Ψαίου , πά̣ν̣των ποιμένων καὶ ἀγροφυλάκων τῆς αὐτῆς κώμης , χαίρειν . μεμισθώμεθα π̣α̣ρ̣ὰ̣ σοῦ πρὸς μόνον τὸν παρόντα ἐνιαυτὸν κατα̣σ̣π̣ορᾶς γενήματος σὺν θεῷ μελλούσης τετάρτης ἰνδικτίονος τὸ ὑπάρχον σοι ἥμισυ μέρος ἀπὸ τῶν ἀρουρῶν καλουμένων Κασινλα κλήρ̣ου Τχηνεστατε , τουτέστι τὸ νότινον μέρος ἐγ’γὺς τοῦ ὁρίου ἐμοῦ Βίκτορος Ἑρμαυῶτος σὺν πᾶσι τοῖς ἐνοῦσι καὶ ἀνήκουσι προστα̣ .κω δικαίῳ κατὰ τὰ τρία \κατὰ/ \μέρος/ κοινῶν πρὸς τὰς ἀρούρας σου κοινω̣νους πρὸς τὰ ὄντα ἑκάστῳ δίκαια ἐφʼ ᾧ ἡμᾶς τοῦτο γεωργῆσαι καὶ ποτίσαι ἀπὸ λάκκου ἐμοῦ Βίκτορος \κτήματος/ καὶ παρέξωμέν* σοι̣ τὸν φόρον ὑπὲρ ὧν δυνησόμεθα ἀρτεῦσαι* ἑκάστης ἀρούρης π̣ρ̣ὸ̣ς̣ ἀναμ̣έ̣τ̣ρ̣η̣σ̣ι̣ν̣ σχοινίου --------------------","['Αὐρηλίῳ', 'Ἀπολλῶτι', 'Διοσκόρου', 'Αὐρηλίου', 'Βίκτορος', 'Ἑρμαυῶτος', 'Βίκτορος', 'Ψενπνούθου', 'Φοιβάμμωνος', 'Ψαίου', 'Βίκτορος', 'Ἑρμαυῶτος', 'Βίκτορος']","{'ἀπὸ κώμης Ἀφροδίτης': '92870', 'τοῦ Ἀνταιοπολίτου νομοῦ': '92869', 'ἀπὸ τῶν ἀρουρῶν καλουμέν(ων) Κασινλα': '92872', 'κλήρ̣ου Τχηνεσταυ̣ε': '92871'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"['παρέξωμέν: read παρέξομέν', 'ἀρτεῦσαι: read ἀρδεῦσαι']",Aphrodito,"('AD 524', 'AD 524')"
TM 17593,AD 518 - 527,"gap=_lines---. ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης τοῦ αὐτοῦ νομοῦ . ὁμολογοῦμεν ἐπομνύμενοι τόν τ̣ε παντοκράτορα θεὸν καὶ τὴν θείαν καὶ οὐρανίο̣ν τύχην τοῦ τὰ πάντα νικῶντος? δεσπότου ἡμῶν Φλαυίου Ἰουστίνου τοῦ αἰωνίου Αὐγούστου καὶ? Αὐτοκράτορος ἐγγυᾶσθαι καὶ ἀναδεδέχθαι μονῆς καὶ ἐμφανεία̣ς Αὐρήλιον Ἀπόλλων̣\α̣/ ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης? ἐκ πατρὸς Ψαίου ποιμενον* ἐπὶ τῷ αὐτὸν ὑπουργεῖν καὶ τὴν --- τῆς ὑπʼ αὐτὸν πεδιάδος λεγομένης Φερκω καὶ ὑπουργεῖν ---ς καὶ πάντα τὰ ἐπιζητούμενα πρόσωπα ἀμέμπτως καὶ --- καὶ ἀκαταγνώστως ἐκτελέσαι , ἀλλʼ ἀεὶ ζητούμενον αὐτὸν --- παραδώσομεν τῇ ὑμῶν ἐντρεχείᾳ ἐκτὸς ἁγίων περιβόλων καὶ θείων χαρακτήρων καὶ ἁγίας κυριακῆς ἐν δημοσίῳ τόπῳ ἐν αὐτῷ τῷ παγανικῷ σχήματι ἄνευ στρατιωτ̣ι̣κοῦ σχήματος ἢ μοναχικοῦ καὶ μηδαμῶς αὐτὸν --- εἰ δὲ ἀπολη̣μφθείη* καὶ ζητούμενον αὐτὸν μὴ παρέξομεν τῇ ὑμῶν ἐντρεχείᾳ , αὐτοὶ ἐπιγνῶναι οἴκο̣θεν αὐτῇ ὑπὲρ τῆς τουτον* ἀπολίψεως χρυσοῦ οὐγκίας τρεῖς κινδύνῳ ἡμῶν καὶ τῆς ἡμῶν ὑποστάσεως γενικῶς τε καὶ ἰδικῶς , καὶ οὐδὲν διεψευσάμεθα , ἢ ἔνοχος* εἰη* τῷ θείῳ ὅρκῳ καὶ τῷ περὶ τούτου ἐπηρτημένῳ κινδύνῳ . καὶ ἐπερωτηθέντες ὡμολογήσαμεν . Αὐρήλιος ---.ο̣υ ὁ προκείμενος ἐγγυο͂μαι* τὸν προκείμενον Ἀπολλων* εἰς χρυσοῦ οὐγκία --- καὶ ὄμοσα* τὸν θεῖον ὅρκον ὡς πρόκειται , καὶ ὑπογράψας ---.. Αὐρήλιος Ἑρμαῶς Βόττου ὁ προκείμενος ἐγγυῶ̣μαι τὸν προκείμενον Ἀπόλλωνα εἰς --- χ̣ρ̣υ̣σ̣ο̣ῦ̣ οὐγκία--- --------------------","['Αὐρήλιον', 'Ἀπόλλωνα', 'Ψαίου', 'Αὐρήλιος', 'Απολλων', 'Αὐρήλιος', 'Ἑρμαῶς', 'Βόττου', 'Ἀπόλλωνα']","{'ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης': '92873', 'τοῦ αὐτοῦ νομ[οῦ]': '131729', '[ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης?]': '92874', '[τῆς] ... πεδιάδος λεγομένης Φερκω': '92875'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"['ἀπολημφθείη: read ἀπολειφθείη', 'τουτον: read τούτου', 'ἔνοχος: read ἔνοχοι', 'Ἀπολλων: read Ἀπόλλωνα', 'ἐγγυο͂μαι: read ἐγγυῶμαι', 'ὄμοσα: read ὤμοσα', 'ποιμενον: read ποιμένα']",Aphrodito,"('AD 518', 'AD 518')"
TM 17594,epagomenal days: AD 538 Aug 24 - 28Mesore Epagomenai,"ὑπατείας Φλαουίου Ἰωάννου τοῦ ἐνδοξοτάτου Μεσορὴ ἐπαγομένωνslanting-strokeslanting-strokeδευτέρας ἰνδικτίονος . τῷ δικαίῳ τοῦ ἁγίου μοναστηρίου Ἄπα Ἀγενίου ὄρους τοῦ Ἀπολλωνοπολίτου μικροῦ νομοῦ , ὑπὸ τὴν διοίκησιν τοῦ ἐνδοξοτάτου κόμιτος Ἀμμωνίου τοῦ θείου κονσ̣ι̣σ̣τωρίου διὰ τοῦ σεβασμιωτάτου Ἄπα Ἀπολλῶτος Διοσκόρου Ψι̣μ̣ανωβετʼ ἀπὸ Ἀφροδίτης τῆς κώμης τοῦ Ἀνταιοπολίτου νομοῦ παρὰ Αὐρηλίου Γεωρ̣γίου ἐκ πατρὸς Ἰωσὴφ? Ἡρακλείου ἐκ μητρὸς Νόνν̣ας καταμένοντος ἐπὶ τῆς αὐτῆς κώμης Ἀφροδίτης χαίρειν . ἑκουσίως καὶ αὐθαιρέτως ἑτοίμως ἔχω ἐπὶ τ̣εσ̣σ̣άρων ἐτῶν --------------------gap=_lines","['Ἀμμωνίου', 'Ἄπα', 'Ἀπολλῶτος', 'Διοσκόρου', 'Ψιμανωβετ᾽', 'Αὐρηλίου', 'Γεωργίου', 'Ἰωσὴφ', 'Ἡρακλείου', 'Νόννας']","{'τοῦ ἁγίου μοναστηρίου Ἄπα Ἀγενίου ὄρους': '92877', 'τοῦ Ἀπολλωνοπολίτου Μι[κρ]οῦ νομοῦ': '92878', 'ἀπὸ Ἀφροδίτης τῆς κώμης ...': '92879', 'τοῦ Ἀνταιοπολίτου νομοῦ': '92876', 'ἐπὶ τῆς α(ὐτῆς) κώμης Ἀφροδί(της)': '92880'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],[],Aphrodito,"('AD 538', 'AD 538')"
